category,address,price
"Studio 35 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),119 350 €
"Appartement 3 pièces 65 m²
Lille 59000 (Bois Blanc)",Lille 59000 (Bois Blanc),274 500 €
"Appartement 2 pièces 45 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),176 000 €
"Studio 14 m²
Lille 59000 (Fives)",Lille 59000 (Fives),52 500 €
"Appartement 2 pièces 43 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),155 250 €
"Appartement 3 pièces 63 m²
Lille 59800 (Fives)",Lille 59800 (Fives),189 000 €
"Appartement 1 pièce 17 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),91 000 €
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),200 000 €
"Appartement 3 pièces 83 m²
Lille 59000 (Mont à Camp - Marais)",Lille 59000 (Mont à Camp - Marais),199 500 €
"Maison 9 pièces 190 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),672 000 €
"Appartement 4 pièces 90 m²
Lille 59000 (Vieux Lille)",Lille 59000 (Vieux Lille),286 500 €
"Appartement 2 pièces 42 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),177 000 €
"Maison 4 pièces 81 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),255 000 €
"Maison 3 pièces 75 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),199 500 €
"Appartement 3 pièces 96 m²
Lille 59000 (Fives)",Lille 59000 (Fives),243 000 €
"Appartement 3 pièces 65 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),222 450 €
"Appartement 2 pièces 43 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),199 500 €
"Studio 20 m²
Lille 59000 (Faubourg de Béthune)",Lille 59000 (Faubourg de Béthune),65 000 €
"Appartement 3 pièces 75 m²
Lille 59800 (Fives)",Lille 59800 (Fives),232 900 €
"Studio
Lille 59800 (Vauban - Esquermes)",Lille 59800 (Vauban - Esquermes),140 000 €
"Appartement 2 pièces 49 m²
Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin)",Lille 59000 (Hellemmes Centre-ville - Pavé du Moulin),360 000 €
"Appartement 1 pièce 20 m²
Lille 59000 (Hellemmes Guinguette)",Lille 59000 (Hellemmes Guinguette),109 900 €
"Appartement 3 pièces 71 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),239 500 €
"Maison 4 pièces 117 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),316 500 €
"Appartement 4 pièces 90 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),249 000 €
"Appartement 4 pièces 110 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),394 875 €
"Appartement 3 pièces 73 m²
Lille 59160 (Sud Marais)",Lille 59160 (Sud Marais),174 900 €
"Maison 5 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),645 000 €
"Appartement 5 pièces 110 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),298 000 €
"Appartement 4 pièces 92 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",Lille 59000 (Saint-Maurice - Pellevoisin),236 250 €
"Appartement 3 pièces 70 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",Lille 59800 (Saint-Maurice - Pellevoisin),252 000 €
"Duplex 4 pièces 77 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),238 000 €
"Duplex 4 pièces 92 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),266 000 €
"Appartement 4 pièces 87 m²
Lille 59000 (Lille-Sud)",Lille 59000 (Lille-Sud),311 000 €
"Appartement 2 pièces 41 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),165 500 €
"Appartement 2 pièces 50 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),220 500 €
"Appartement 3 pièces 113 m²
Lille 59800 (Vieux Lille)",Lille 59800 (Vieux Lille),638 495 €
"Maison 5 pièces 150 m²
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),259 900 €
"Appartement 2 pièces 59 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),259 000 €
"Appartement 3 pièces 71 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),232 000 €
"Appartement 3 pièces 81 m²
Lille 59000 (Mont à Camp - Marais)",Lille 59000 (Mont à Camp - Marais),259 000 €
"Appartement 1 pièce 12 m²
Lille 59000 (Wazemmes)",Lille 59000 (Wazemmes),99 600 €
"Maison 4 pièces 120 m²
Lomme 59160 (Sud Marais)",Lomme 59160 (Sud Marais),222 450 €
"Appartement 4 pièces 100 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),443 500 €
"Appartement 3 pièces 62 m²
Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin)",Lille 59260 (Hellemmes Centre-ville - Pavé du Moulin),145 800 €
"Appartement 1 pièce 32 m²
Lille 59800 (Centre-ville - Euralille)",Lille 59800 (Centre-ville - Euralille),134 817 €
"Maison 7 pièces 185 m²
Lomme 59160 (Bois Blanc)",Lomme 59160 (Bois Blanc),584 000 €
"Appartement 1 pièce
Lille 59800 (Fives)",Lille 59800 (Fives),56 500 €
"Appartement 3 pièces 63 m²
Lille 59000 (Vauban - Esquermes)",Lille 59000 (Vauban - Esquermes),180 000 €
"Appartement 2 pièces 40 m²
Lomme 59160 (Bourg - Délivrance)",Lomme 59160 (Bourg - Délivrance),148 500 €
"Maison 7 pièces 185 m²
Lille 59000 (Bois Blanc)",Lille 59000 (Bois Blanc),584 000 €
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",Lille 59000 (Fives),295 000 €
"Maison 5 pièces 105 m²
Lille 59000 (Fives)",Lille 59000 (Fives),295 000 €
"Maison 3 pièces 40 m²
Lille 59000 (Bois Blanc)",Lille 59000 (Bois Blanc),119 900 €
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",Lomme 59160 (Mitterie),107 000 €
"Appartement 1 pièce 17 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),78 500 €
"Appartement 2 pièces 35 m²
Lille 59000 (Moulins)",Lille 59000 (Moulins),109 000 €
"Appartement 1 pièce 33 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),241 726 €
"Appartement 4 pièces 74 m²
Lille 59000 (Centre-ville - Euralille)",Lille 59000 (Centre-ville - Euralille),358 400 €
