Property type,Listing type,Locality,Number of rooms,Area,Price,Negotiable price,Per Square Meter,Latitude,Longitude
Appartement,New Property,Saint_Maurice_Pellevoisin,3,45,208000,Yes,4622.222222,50.644111,3.087731
Appartement,New Property,Bourg_Délivrance,1,24,204000,Yes,8500,50.645721,2.984393
Appartement,New Property,Hellemmes_,3,54,221500,Yes,4101.851852,50.629241,3.110993
Appartement,New Property,Mitterie,1,31,318500,Yes,10274.19355,50.650932,2.993831
Appartement,New Property,Bourg_Délivrance,2,22,233950,Yes,10634.09091,50.645721,2.984393
Appartement,New Property,Moulins,2,27,214025.5,Yes,7926.87037,50.618989,3.066337
Appartement,New Property,Lille_Sud,2,34,322750,Yes,9492.647059,50.609095,3.040395
Appartement,New Property,Centre_ville_Euralille,2,54,555516.5,Yes,10287.34259,50.634672,3.071724
Appartement,New Property,Vieux_Lille,3,48,369000,No,7687.5,50.642801,3.059485
Appartement,New Property,Centre_ville_Euralille,1,25,248000,No,9920,50.634672,3.071724
VILLA,New Property,Centre_ville_Euralille,3,73,268000,Yes,3671.232877,50.634672,3.071724
Appartement,New Property,Lille_Sud,3,64,171000,No,2671.875,50.609095,3.040395
Appartement,New Property,Lille_Sud,4,66,372400,Yes,5642.424242,50.609095,3.040395
Appartement,New Property,Fives,5,61,277750,Yes,4553.278689,50.628545,3.090331
Appartement,New Property,Bourg_Délivrance,3,40,257250,No,6431.25,50.645721,2.984393
Appartement,New Property,Wazemmes,2,48,328762.5,Yes,6849.21875,50.62383,3.047664
