category,nbr_rooms,area,Negotiable,price,Locality ,pincode,Type,address
"Appartement 2 pièces 39 m²
Lille 59000 (Moulins)",2,39,No,113900,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Appartement 1 pièce 19 m²
Lille 59000 (Faubourg de Béthune)",1,19,No,52000,Faubourg de Béthune,59000,Appartement,Lille 59000 (Faubourg de Béthune)
"Appartement 2 pièces 49 m²
Lille 59000 (Centre-ville - Euralille)",2,49,No,189000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 136 m²
Lille 59000 (Centre-ville - Euralille)",4,136,No,483000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Maison 4 pièces 93 m²
Lille 59000 (Lille-Sud)",4,93,No,192000,Lille-Sud,59000,Maison,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 43 m²
Lomme 59160 (Mont à Camp - Marais)",2,43,No,162481,Mont à Camp - Marais,59160,Appartement,Lomme 59160 (Mont à Camp - Marais)
"Duplex 5 pièces 105 m²
Lille 59000 (Vauban - Esquermes)",5,105,No,380000,Vauban - Esquermes,59000,VILLA,Lille 59000 (Vauban - Esquermes)
"Appartement 2 pièces 40 m²
Lomme 59160 (Mitterie)",2,40,No,107000,Mitterie,59160,Appartement,Lomme 59160 (Mitterie)
"Appartement 4 pièces 77 m²
Lille 59800 (Vauban - Esquermes)",4,77,No,299000,Vauban - Esquermes,59800,Appartement,Lille 59800 (Vauban - Esquermes)
"Appartement 3 pièces 64 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",3,64,No,190000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 1 pièce 113 m²
Lille 59000 (Fives)",1,113,No,180000,Fives,59000,Maison,Lille 59000 (Fives)
"Duplex 4 pièces 101 m²
Lille 59000 (Vieux Lille)",4,101,No,483000,Vieux Lille,59000,VILLA,Lille 59000 (Vieux Lille)
"Appartement 4 pièces 83 m²
Lille 59000 (Moulins)",4,83,No,185500,Moulins,59000,Appartement,Lille 59000 (Moulins)
"Studio 17 m²
Lille 59000 (Wazemmes)",1,17,No,97000,Wazemmes,59000,Studio,Lille 59000 (Wazemmes)
"Appartement 3 pièces 66 m²
Lille 59000 (Lille-Sud)",3,66,No,233500,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 4 pièces 99 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",4,99,No,275000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Maison 4 pièces 117 m²
Lille 59800 (Saint-Maurice - Pellevoisin)",4,117,No,325500,Saint-Maurice - Pellevoisin,59800,Maison,Lille 59800 (Saint-Maurice - Pellevoisin)
"Appartement 3 pièces 68 m²
Lille 59000 (Centre-ville - Euralille)",3,68,No,364000,Centre-ville - Euralille,59000,Appartement,Lille 59000 (Centre-ville - Euralille)
"Appartement 4 pièces 90 m²
Lille 59000 (Lille-Sud)",4,90,No,347000,Lille-Sud,59000,Appartement,Lille 59000 (Lille-Sud)
"Appartement 2 pièces 48 m²
Lille 59000 (Wazemmes)",2,48,No,188000,Wazemmes,59000,Appartement,Lille 59000 (Wazemmes)
"Appartement 2 pièces 46 m²
Lille 59000 (Saint-Maurice - Pellevoisin)",2,46,No,180000,Saint-Maurice - Pellevoisin,59000,Appartement,Lille 59000 (Saint-Maurice - Pellevoisin)
"Studio 35 m²
Lille 59000 (Vauban - Esquermes)",1,35,No,119350,Vauban - Esquermes,59000,Studio,Lille 59000 (Vauban - Esquermes)
